,id,user_id,phone_no,country,ratings,number_of_reviews,number_of_customers,years_of_experience,type_of_consultant,date_of_birth,approved,first_name,last_name,lat,long
1,1,2,9687014144,IN,0,0,0,1,Career,10/18/1999,TRUE,Deep,Patel,40.79269499,2.687459125
0,2,3,9687014144,IN,0,0,0,1,Career,10/18/1999,FALSE,Jay,Patel,40.10622605,11.28848292
2,3,4,9687014144,IN,0,0,0,1,Career,10/18/1999,TRUE,Dhruv,Patel,15.65902347,21.24500394
3,4,8,9999999999,IN,0,0,0,1,Lawyer,12/15/2020,FALSE,Jay,Patel,7.585640433,-7.757847507
4,5,9,9999999999,IN,0,0,0,1,Lawyer,12/15/2020,FALSE,Deep,Patel,-5.830022938,-12.92693828
5,6,10,9999999999,IN,0,0,0,1,Career,12/15/1999,FALSE,Dhruv,Patel,5.799782908,-3.542066934
6,7,2,9999999999,USA,3.75,53,53,6,Doctor,3/26/2021,FALSE,Emma,SMITH,40.10622605,-18.90799732
7,8,2,9999999999,UKG,2.75,37,37,1,Education,3/26/2021,FALSE,Olivia,JOHNSON,40.79269499,40.36981885
8,9,2,9999999999,NTH,3,57,57,6,Education,3/26/2021,FALSE,Noah,WILLIAMS,15.65902347,-9.043447685
9,10,2,9999999999,FRN,3.5,47,47,3,Doctor,3/26/2021,FALSE,Liam,BROWN,7.585640433,-17.05971085
10,11,2,9999999999,SWZ,3.5,85,85,1,Career,3/26/2021,FALSE,Sophia,JONES,-5.830022938,-6.814700861
11,12,2,9999999999,SPN,2.75,3,3,5,Doctor,3/26/2021,FALSE,Mason,MILLER,5.799782908,-1.815010566
12,13,2,9999999999,POR,3.5,17,17,6,Lawyer,3/26/2021,FALSE,Ava,DAVIS,-5.733654603,-38.99897758
13,14,2,9999999999,BAV,3.5,38,38,4,Education,3/26/2021,FALSE,Jacob,GARCIA,-3.010800977,0.209407691
14,15,2,9999999999,GMY,3.75,11,11,6,Education,3/26/2021,FALSE,William,RODRIGUEZ,-26.27883008,9.555396901
15,16,2,9999999999,BAD,4,74,74,2,Lawyer,3/26/2021,FALSE,Isabella,WILSON,-1.585623072,28.49723334
16,17,2,9999999999,SAX,2.75,10,10,1,Doctor,3/26/2021,FALSE,Ethan,MARTINEZ,30.62997939,-20.63395833
17,18,2,9999999999,WRT,3,71,71,6,Lawyer,3/26/2021,FALSE,Mia,ANDERSON,21.9226253,-38.53752403
18,19,2,9999999999,HSE,3.25,68,68,5,Career,3/26/2021,FALSE,James,TAYLOR,13.08604328,29.31765083
19,20,2,9999999999,HSG,3.75,37,37,2,Lawyer,3/26/2021,FALSE,Alexander,THOMAS,-33.182468,3.923201217
20,21,2,9999999999,AUH,2.75,4,4,6,Career,3/26/2021,FALSE,Michael,HERNANDEZ,-45.10072393,11.28848292
21,22,2,9999999999,ITA,3,76,76,6,Education,3/26/2021,FALSE,Benjamin,MOORE,30.98848291,2.687459125
22,23,2,9999999999,PAP,3.25,14,14,2,Career,3/26/2021,FALSE,Elijah,MARTIN,-10.89110341,21.24500394
23,24,2,9999999999,SIC,4,75,75,7,Lawyer,3/26/2021,FALSE,Daniel,JACKSON,15.92407373,-7.757847507
24,25,2,9999999999,TUS,3.25,95,95,5,Lawyer,3/26/2021,FALSE,Aiden,THOMPSON,26.24415359,-12.92693828
25,26,2,9999999999,RUS,3.5,57,57,4,Education,3/26/2021,FALSE,Logan,WHITE,1.447270092,-3.542066934
26,27,2,9999999999,SWD,4,50,50,5,Education,3/26/2021,FALSE,Matthew,LOPEZ,-11.88268678,-18.08826263
27,28,2,9999999999,DEN,3.5,62,62,5,Career,3/26/2021,FALSE,Abigail,LEE,-41.80542379,-23.81309742
