country,ratings,number_of_customers,years_of_experiance,number_of_reviews,type_of_consultant,first_name,last_name,lat,long
USA,3.75,53,6,53,Doctor,Emma,SMITH,40.10622605,-18.90799732
UKG,2.75,37,1,37,Education,Olivia,JOHNSON,40.79269499,40.36981885
NTH,3,57,6,57,Education,Noah,WILLIAMS,15.65902347,-9.043447685
FRN,3.5,47,3,47,Doctor,Liam,BROWN,7.585640433,-17.05971085
SWZ,3.5,85,1,85,Career,Sophia,JONES,-5.830022938,-6.814700861
SPN,2.75,3,5,3,Doctor,Mason,MILLER,5.799782908,-1.815010566
POR,3.5,17,6,17,Lawyer,Ava,DAVIS,-5.733654603,-38.99897758
BAV,3.5,38,4,38,Education,Jacob,GARCIA,-3.010800977,0.209407691
GMY,3.75,11,6,11,Education,William,RODRIGUEZ,-26.27883008,9.555396901
BAD,4,74,2,74,Lawyer,Isabella,WILSON,-1.585623072,28.49723334
SAX,2.75,10,1,10,Doctor,Ethan,MARTINEZ,30.62997939,-20.63395833
WRT,3,71,6,71,Lawyer,Mia,ANDERSON,21.9226253,-38.53752403
HSE,3.25,68,5,68,Career,James,TAYLOR,13.08604328,29.31765083
HSG,3.75,37,2,37,Lawyer,Alexander,THOMAS,-33.182468,3.923201217
AUH,2.75,4,6,4,Career,Michael,HERNANDEZ,-45.10072393,11.28848292
ITA,3,76,6,76,Education,Benjamin,MOORE,30.98848291,2.687459125
PAP,3.25,14,2,14,Career,Elijah,MARTIN,-10.89110341,21.24500394
SIC,4,75,7,75,Lawyer,Daniel,JACKSON,15.92407373,-7.757847507
TUS,3.25,95,5,95,Lawyer,Aiden,THOMPSON,26.24415359,-12.92693828
RUS,3.5,57,4,57,Education,Logan,WHITE,1.447270092,-3.542066934
SWD,4,50,5,50,Education,Matthew,LOPEZ,-11.88268678,-18.08826263
DEN,3.5,62,5,62,Career,Abigail,LEE,-41.80542379,-23.81309742
TUR,3.75,84,0,84,Doctor,Lucas,GONZALEZ,25.46242923,20.76735594
USA,3.75,27,0,27,Career,Jackson,HARRIS,10.36962355,-41.21275843
UKG,3.75,48,6,48,Career,Emily,CLARK,-1.986658342,11.34983993
NTH,2.75,85,17,85,Doctor,David,LEWIS,4.099991266,2.822811263
FRN,3.25,18,5,18,Education,Oliver,ROBINSON,6.01537243,-16.06195691
SWZ,3.5,19,0,19,Doctor,Jayden,WALKER,16.89400601,17.69220118
SPN,3.5,99,14,99,Career,Joseph,PEREZ,14.70464077,14.15413303
POR,2.75,46,6,46,Education,Charlotte,HALL,11.64445901,27.11039306
BAV,3,80,8,80,Lawyer,Gabriel,YOUNG,-27.92172544,-30.00106056
GMY,3,59,2,59,Career,Samuel,ALLEN,1.909601592,14.19337049
BAD,3.75,5,6,5,Doctor,Carter,SANCHEZ,38.24806271,17.96033058
SAX,2.75,73,8,73,Lawyer,Anthony,WRIGHT,30.04547581,4.705253899
WRT,2.75,5,20,5,Career,John,KING,0.599091394,2.046325303
HSE,2.75,16,21,16,Career,Harper,SCOTT,1.090058059,-49.38143132
HSG,2.75,70,0,70,Education,Dylan,GREEN,3.110540429,-0.476957745
AUH,3,69,7,69,Lawyer,Luke,BAKER,-9.936677114,39.99428281
ITA,2.5,6,8,6,Education,Henry,ADAMS,0.684803554,-37.40272881
PAP,2.5,70,0,70,Doctor,Madison,NELSON,-21.3303194,42.56622002
SIC,3.5,74,25,74,Lawyer,Andrew,HILL,7.603128838,46.20336093
TUS,3.5,88,6,88,Education,Isaac,RAMIREZ,-35.72346174,4.409094975
RUS,3.5,62,1,62,Career,Amelia,CAMPBELL,18.8474852,17.56398922
SWD,3.5,93,6,93,Education,Christopher,MITCHELL,31.36800867,13.04735508
DEN,2.75,7,0,7,Doctor,Joshua,ROBERTS,-25.95642124,42.04306735
TUR,3,31,10,31,Lawyer,Elizabeth,CARTER,-14.33088313,-2.244878173
USA,2.5,31,4,31,Career,Sofia,PHILLIPS,-17.86335833,-13.98034635
UKG,2.5,32,5,32,Doctor,Wyatt,EVANS,-23.44979129,-23.83001084
NTH,2.75,95,5,95,Education,Sebastian,TURNER,-15.94726262,-2.049057249
FRN,2.5,86,6,86,Education,Owen,TORRES,-21.12950047,4.665330677
SWZ,3,45,6,45,Doctor,Evelyn,PARKER,21.39559441,37.48268458
SPN,3.25,23,1,23,Education,Avery,COLLINS,-30.71241822,12.61880615
POR,3,92,4,92,Doctor,Caleb,EDWARDS,1.684311616,44.52760822
BAV,3.25,47,3,47,Career,Nathan,STEWART,-13.4345628,0.390087586
GMY,4,70,0,70,Doctor,Ryan,FLORES,23.07630662,22.02806118
BAD,3.75,67,5,67,Career,Jack,MORRIS,-14.901422,21.76213083
SAX,4,41,4,41,Doctor,Hunter,NGUYEN,-10.3296338,-34.48442269
WRT,3,22,15,22,Career,Levi,MURPHY,-38.62926245,39.47425076
HSE,3,21,25,21,Doctor,Christian,RIVERA,41.19088874,37.87683672
HSG,2.75,24,11,24,Career,Jaxon,COOK,14.69264507,-5.68215838
AUH,3.5,71,5,71,Education,Julian,ROGERS,3.133770336,-3.485222805
ITA,3,17,3,17,Career,Landon,MORGAN,-17.12819508,37.58258774
PAP,3.75,71,0,71,Doctor,Chloe,PETERSON,22.74784084,39.23001663
SIC,3,51,0,51,Education,Ella,COOPER,9.305611703,43.01987577
TUS,2.75,78,6,78,Lawyer,Grayson,REED,12.49426394,-6.774714982
RUS,2.75,91,4,91,Lawyer,Grace,BAILEY,-9.249124294,-3.849789393
SWD,3,97,1,97,Doctor,Jonathan,BELL,-20.14529534,11.37652971
DEN,3.25,5,19,5,Doctor,Victoria,GOMEZ,-22.23330013,8.933304129
TUR,3.5,77,3,77,Career,Isaiah,KELLY,-30.86293171,11.71814197
USA,3,47,25,47,Lawyer,Aubrey,HOWARD,3.065200146,8.908661466
UKG,3.25,49,17,49,Career,Charles,WARD,-13.80194812,-20.73153743
NTH,3.25,75,4,75,Doctor,Thomas,COX,-2.197685893,-25.26468698
FRN,3.25,56,6,56,Lawyer,Aaron,DIAZ,11.29986952,0.237162949
SWZ,3.25,48,4,48,Lawyer,Scarlett,RICHARDSON,-12.79456729,44.65438873
SPN,3.5,2,1,2,Lawyer,Eli,WOOD,37.57854701,17.66092322
POR,3.75,76,0,76,Education,Zoey,WATSON,48.45294949,-11.42274086
BAV,4,22,1,22,Doctor,Connor,BROOKS,28.63194986,-12.59072972
GMY,4,54,3,54,Education,Jeremiah,BENNETT,7.351155268,7.722489431
BAD,5,48,0,48,Career,Cameron,GRAY,-39.3936269,8.568445308
SAX,3,80,14,80,Career,Addison,JAMES,-16.74980779,18.18827641
WRT,3,83,6,83,Lawyer,Lily,REYES,-35.31725939,-5.794695659
