,id,user_id,phone_no,country,ratings,number_of_reviews,number_of_customers,years_of_experience,type_of_consultant,date_of_birth,approved,first_name,last_name,lat,long
0,2,3,9687014144,IN,0.0,0,0,1,Career,1999-10-18,False,,,,
1,1,2,9687014144,IN,0.0,0,0,1,Career,1999-10-18,True,,,,
2,3,4,9687014144,IN,0.0,0,0,1,Career,1999-10-18,True,,,,
3,4,8,9999999999,IN,0.0,0,0,1,Lawyer,2020-12-15,False,,,,
4,5,9,9999999999,IN,0.0,0,0,1,Lawyer,2020-12-15,False,,,,
5,6,10,9999999999,IN,0.0,0,0,1,Career,1999-12-15,False,,,,
6,7,2,9999999999,USA,3.75,53,53,6,Doctor,2021-03-26,False,Emma,SMITH,40.10622605,-18.90799732
7,8,2,9999999999,UKG,2.75,37,37,1,Education,2021-03-26,False,Olivia,JOHNSON,40.79269499,40.36981885
8,9,2,9999999999,NTH,3.0,57,57,6,Education,2021-03-26,False,Noah,WILLIAMS,15.65902347,-9.043447685
9,10,2,9999999999,FRN,3.5,47,47,3,Doctor,2021-03-26,False,Liam,BROWN,7.585640432999999,-17.05971085
10,11,2,9999999999,SWZ,3.5,85,85,1,Career,2021-03-26,False,Sophia,JONES,-5.830022938,-6.814700861
11,12,2,9999999999,SPN,2.75,3,3,5,Doctor,2021-03-26,False,Mason,MILLER,5.799782907999999,-1.815010566
12,13,2,9999999999,POR,3.5,17,17,6,Lawyer,2021-03-26,False,Ava,DAVIS,-5.733654603,-38.99897758
13,14,2,9999999999,BAV,3.5,38,38,4,Education,2021-03-26,False,Jacob,GARCIA,-3.0108009769999997,0.209407691
14,15,2,9999999999,GMY,3.75,11,11,6,Education,2021-03-26,False,William,RODRIGUEZ,-26.27883008,9.555396901
15,16,2,9999999999,BAD,4.0,74,74,2,Lawyer,2021-03-26,False,Isabella,WILSON,-1.585623072,28.49723334
16,17,2,9999999999,SAX,2.75,10,10,1,Doctor,2021-03-26,False,Ethan,MARTINEZ,30.62997939,-20.63395833
17,18,2,9999999999,WRT,3.0,71,71,6,Lawyer,2021-03-26,False,Mia,ANDERSON,21.9226253,-38.53752403
18,19,2,9999999999,HSE,3.25,68,68,5,Career,2021-03-26,False,James,TAYLOR,13.08604328,29.31765083
19,20,2,9999999999,HSG,3.75,37,37,2,Lawyer,2021-03-26,False,Alexander,THOMAS,-33.182468,3.923201217
20,21,2,9999999999,AUH,2.75,4,4,6,Career,2021-03-26,False,Michael,HERNANDEZ,-45.10072393,11.28848292
21,22,2,9999999999,ITA,3.0,76,76,6,Education,2021-03-26,False,Benjamin,MOORE,30.98848291,2.687459125
22,23,2,9999999999,PAP,3.25,14,14,2,Career,2021-03-26,False,Elijah,MARTIN,-10.89110341,21.24500394
23,24,2,9999999999,SIC,4.0,75,75,7,Lawyer,2021-03-26,False,Daniel,JACKSON,15.92407373,-7.757847507
24,25,2,9999999999,TUS,3.25,95,95,5,Lawyer,2021-03-26,False,Aiden,THOMPSON,26.24415359,-12.92693828
25,26,2,9999999999,RUS,3.5,57,57,4,Education,2021-03-26,False,Logan,WHITE,1.447270092,-3.5420669339999997
26,27,2,9999999999,SWD,4.0,50,50,5,Education,2021-03-26,False,Matthew,LOPEZ,-11.88268678,-18.08826263
27,28,2,9999999999,DEN,3.5,62,62,5,Career,2021-03-26,False,Abigail,LEE,-41.80542379,-23.81309742
28,29,2,9999999999,TUR,3.75,84,84,0,Doctor,2021-03-26,False,Lucas,GONZALEZ,25.46242923,20.76735594
29,30,2,9999999999,USA,3.75,27,27,0,Career,2021-03-26,False,Jackson,HARRIS,10.36962355,-41.21275843
30,31,2,9999999999,UKG,3.75,48,48,6,Career,2021-03-26,False,Emily,CLARK,-1.986658342,11.34983993
31,32,2,9999999999,NTH,2.75,85,85,17,Doctor,2021-03-26,False,David,LEWIS,4.099991266,2.822811263
32,33,2,9999999999,FRN,3.25,18,18,5,Education,2021-03-26,False,Oliver,ROBINSON,6.01537243,-16.06195691
33,34,2,9999999999,SWZ,3.5,19,19,0,Doctor,2021-03-26,False,Jayden,WALKER,16.89400601,17.69220118
34,35,2,9999999999,SPN,3.5,99,99,14,Career,2021-03-26,False,Joseph,PEREZ,14.70464077,14.15413303
35,36,2,9999999999,POR,2.75,46,46,6,Education,2021-03-26,False,Charlotte,HALL,11.64445901,27.11039306
36,37,2,9999999999,BAV,3.0,80,80,8,Lawyer,2021-03-26,False,Gabriel,YOUNG,-27.92172544,-30.00106056
37,38,2,9999999999,GMY,3.0,59,59,2,Career,2021-03-26,False,Samuel,ALLEN,1.9096015919999998,14.19337049
38,39,2,9999999999,BAD,3.75,5,5,6,Doctor,2021-03-26,False,Carter,SANCHEZ,38.24806271,17.96033058
39,40,2,9999999999,SAX,2.75,73,73,8,Lawyer,2021-03-26,False,Anthony,WRIGHT,30.04547581,4.705253899
40,41,2,9999999999,WRT,2.75,5,5,20,Career,2021-03-26,False,John,KING,0.599091394,2.046325303
41,42,2,9999999999,HSE,2.75,16,16,21,Career,2021-03-26,False,Harper,SCOTT,1.090058059,-49.38143132
42,43,2,9999999999,HSG,2.75,70,70,0,Education,2021-03-26,False,Dylan,GREEN,3.110540429,-0.476957745
43,44,2,9999999999,AUH,3.0,69,69,7,Lawyer,2021-03-26,False,Luke,BAKER,-9.936677114,39.99428281
44,45,2,9999999999,ITA,2.5,6,6,8,Education,2021-03-26,False,Henry,ADAMS,0.684803554,-37.40272881
45,46,2,9999999999,PAP,2.5,70,70,0,Doctor,2021-03-26,False,Madison,NELSON,-21.3303194,42.56622002
46,47,2,9999999999,SIC,3.5,74,74,25,Lawyer,2021-03-26,False,Andrew,HILL,7.603128838,46.20336093
47,48,2,9999999999,TUS,3.5,88,88,6,Education,2021-03-26,False,Isaac,RAMIREZ,-35.72346174,4.409094975
48,49,2,9999999999,RUS,3.5,62,62,1,Career,2021-03-26,False,Amelia,CAMPBELL,18.847485199999998,17.56398922
49,50,2,9999999999,SWD,3.5,93,93,6,Education,2021-03-26,False,Christopher,MITCHELL,31.36800867,13.04735508
50,51,2,9999999999,DEN,2.75,7,7,0,Doctor,2021-03-26,False,Joshua,ROBERTS,-25.95642124,42.04306735
51,52,2,9999999999,TUR,3.0,31,31,10,Lawyer,2021-03-26,False,Elizabeth,CARTER,-14.33088313,-2.244878173
52,53,2,9999999999,USA,2.5,31,31,4,Career,2021-03-26,False,Sofia,PHILLIPS,-17.86335833,-13.98034635
53,54,2,9999999999,UKG,2.5,32,32,5,Doctor,2021-03-26,False,Wyatt,EVANS,-23.44979129,-23.83001084
54,55,2,9999999999,NTH,2.75,95,95,5,Education,2021-03-26,False,Sebastian,TURNER,-15.94726262,-2.049057249
